variant,bs,dx,dy,n,k,kernel_name,kernel_name_full,total_time_ms,avg_time_ms,instances,time_percent
TurboFNO_1D_A,32,256,256,64,32,ifft_8_stride,"ifft_8_stride_DY(float2 *, float2 *, int, int)",6.488053,1.0813422,6,47.1
TurboFNO_1D_A,32,256,256,64,32,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",4.246341,0.7077235,6,30.8
TurboFNO_1D_A,32,256,256,64,32,fft_8_stride,"fft_8_stride_DY(float2 *, float2 *, int, int)",3.043051,0.5071752,6,22.1
TurboFNO_1D_A,32,256,256,64,64,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",7.092944,1.1821573,6,36.5
TurboFNO_1D_A,32,256,256,64,64,ifft_8_stride,"ifft_8_stride_DY(float2 *, float2 *, int, int)",6.508754,1.0847923000000002,6,33.5
TurboFNO_1D_A,32,256,256,64,64,fft_8_stride,"fft_8_stride_DY(float2 *, float2 *, int, int)",5.853051,0.9755085,6,30.1
TurboFNO_1D_A,32,256,256,64,128,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",13.42794,2.23799,6,42.7
TurboFNO_1D_A,32,256,256,64,128,fft_8_stride,"fft_8_stride_DY(float2 *, float2 *, int, int)",11.504787,1.9174645,6,36.6
TurboFNO_1D_A,32,256,256,64,128,ifft_8_stride,"ifft_8_stride_DY(float2 *, float2 *, int, int)",6.481589,1.0802648000000001,6,20.6
TurboFNO_1D_A,32,256,256,64,256,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",26.168784,4.361464,6,47.1
TurboFNO_1D_A,32,256,256,64,256,fft_8_stride,"fft_8_stride_DY(float2 *, float2 *, int, int)",22.896549,3.8160915,6,41.2
TurboFNO_1D_A,32,256,256,64,256,ifft_8_stride,"ifft_8_stride_DY(float2 *, float2 *, int, int)",6.47202,1.07867,6,11.7
TurboFNO_1D_A,32,256,256,64,512,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",51.312933,8.5521555,6,49.6
TurboFNO_1D_A,32,256,256,64,512,fft_8_stride,"fft_8_stride_DY(float2 *, float2 *, int, int)",45.713064,7.618844,6,44.2
TurboFNO_1D_A,32,256,256,64,512,ifft_8_stride,"ifft_8_stride_DY(float2 *, float2 *, int, int)",6.45247,1.0754116999999999,6,6.2
TurboFNO_1D_A,32,256,256,128,16,ifft_8_stride,"ifft_8_stride_DY(float2 *, float2 *, int, int)",13.092136,2.1820227,6,65.5
TurboFNO_1D_A,32,256,256,128,16,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",5.33702,0.8895033,6,26.7
TurboFNO_1D_A,32,256,256,128,16,fft_8_stride,"fft_8_stride_DY(float2 *, float2 *, int, int)",1.562997,0.2604995,6,7.8
TurboFNO_1D_A,32,256,256,128,32,ifft_8_stride,"ifft_8_stride_DY(float2 *, float2 *, int, int)",13.080678,2.180113,6,54.9
TurboFNO_1D_A,32,256,256,128,32,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",7.715466,1.285911,6,32.4
TurboFNO_1D_A,32,256,256,128,32,fft_8_stride,"fft_8_stride_DY(float2 *, float2 *, int, int)",3.021289,0.5035482,6,12.7
TurboFNO_1D_A,32,256,256,128,64,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",14.287615,2.3812692,6,43.0
TurboFNO_1D_A,32,256,256,128,64,ifft_8_stride,"ifft_8_stride_DY(float2 *, float2 *, int, int)",13.078919,2.1798197999999998,6,39.4
TurboFNO_1D_A,32,256,256,128,64,fft_8_stride,"fft_8_stride_DY(float2 *, float2 *, int, int)",5.852089,0.9753482,6,17.6
TurboFNO_1D_A,32,256,256,128,128,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",26.457582,4.409597,6,51.8
TurboFNO_1D_A,32,256,256,128,128,ifft_8_stride,"ifft_8_stride_DY(float2 *, float2 *, int, int)",13.066793,2.1777987999999997,6,25.6
TurboFNO_1D_A,32,256,256,128,128,fft_8_stride,"fft_8_stride_DY(float2 *, float2 *, int, int)",11.514769,1.9191282,6,22.6
TurboFNO_1D_A,32,256,256,128,256,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",51.400252,8.5667087,6,58.9
TurboFNO_1D_A,32,256,256,128,256,fft_8_stride,"fft_8_stride_DY(float2 *, float2 *, int, int)",22.90051,3.8167517,6,26.2
TurboFNO_1D_A,32,256,256,128,256,ifft_8_stride,"ifft_8_stride_DY(float2 *, float2 *, int, int)",13.030692,2.171782,6,14.9
TurboFNO_1D_A,32,256,256,128,512,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",101.381299,16.896883199999998,6,63.3
TurboFNO_1D_A,32,256,256,128,512,fft_8_stride,"fft_8_stride_DY(float2 *, float2 *, int, int)",45.720045,7.6200075,6,28.5
TurboFNO_1D_A,32,256,256,128,512,ifft_8_stride,"ifft_8_stride_DY(float2 *, float2 *, int, int)",13.051143,2.1751905,6,8.1
TurboFNO_1D_A,64,128,128,64,16,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",3.829958,0.6383263,6,49.1
TurboFNO_1D_A,64,128,128,64,16,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",3.021771,0.5036285,6,38.8
TurboFNO_1D_A,64,128,128,64,16,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",0.94121,0.1568683,6,12.1
TurboFNO_1D_A,64,128,128,64,32,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",4.888061,0.8146768000000001,6,46.4
TurboFNO_1D_A,64,128,128,64,32,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",3.82343,0.6372383,6,36.3
TurboFNO_1D_A,64,128,128,64,32,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",1.814547,0.3024245,6,17.2
TurboFNO_1D_A,64,128,128,64,64,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",7.026448,1.1710747,6,48.7
TurboFNO_1D_A,64,128,128,64,64,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",3.818119,0.6363532,6,26.5
TurboFNO_1D_A,64,128,128,64,64,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",3.583111,0.5971852,6,24.8
